timestamp,date;_GM;T,sta;tu;s;attendance;home_team_name;away_team_name;referee;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no;stadium_name;
1726250400,Sep;13;2024;-;6:00pm;complete;N/A; Nassr; Ahli;Sergey Karasev;3;1.00;0.00;1.71;1.43;1;1;2;0;0;0;90'9;57;8;3;1;0;3;0;0;1;1;2;20;7;5;5;13;1;7;19;59;41;2.67;1.25;1.89;0.93;1.50;50;50;0;0;0;0;50;0;100;17.00;5.00;1.83;3.90;3.75;1.15;1.50;2.20;3.75;1.44;2.50;Al Awal Park at King Saud University (Ar-Riyāḍ (Riyadh))
1726327200,Sep;14;2024;-;3:20pm;complete;N/A; Fateh; Ittifaq;Abdulsamad Bakri;3;3.00;3.00;0.71;1.71;1;2;3;1;0;1;64;42,73;4;1;0;0;1;0;0;0;0;1;8;19;3;7;2;8;14;12;55;45;0.91;0.86;0.89;1.78;1.00;0;0;0;0;0;0;0;0;100;7.00;2.00;3.10;3.40;2.20;1.25;1.85;3.20;6.50;1.67;2.15;Al Fateh Club Stadium (Al-Hofuf)
1726328700,Sep;14;2024;-;3:45pm;complete;N/A; Feiha; Raed;N/A;3;0.00;1.00;0.67;1.00;0;5;5;3;0;3;;6,17,45'6,60,66;2;4;1;1;1;0;1;1;0;1;9;21;0;9;7;9;10;10;51;49;1.37;1.04;0.72;2.12;3.50;100;100;50;50;50;50;100;50;100;4.00;7.00;2.75;3.30;2.45;1.33;2.05;3.65;7.50;1.77;1.91;Al Majma'ah Sports City Stadium (Al Majma'ah)
1726336800,Sep;14;2024;-;6:00pm;complete;N/A; Riyadh; Hil;Tamás Bognár;3;3.00;3.00;1.17;2.29;0;3;3;0;0;0;;53,80,90'10;3;12;3;0;2;0;1;2;1;1;8;23;2;9;4;7;12;15;38;62;1.35;1.53;0.91;2.14;3.50;50;100;100;50;0;50;100;50;50;6.00;1.00;12.00;7.50;1.15;1.10;1.35;1.93;3.10;1.73;1.95;Prince Faisal bin Fahd Stadium (Ar-Riyāḍ (Riyadh))
1726413600,Sep;15;2024;-;3:20pm;complete;N/A; Quadisiya; Shabab;Faisal Alblwi;3;3.00;3.00;2.50;2.17;0;1;1;1;0;1;;14;10;2;5;0;3;0;1;4;1;2;19;7;8;4;10;1;13;10;47;53;1.41;0.74;2.18;0.70;2.00;0;50;50;0;0;0;50;50;100;9.00;5.00;1.72;3.60;4.44;1.27;1.84;3.14;5.90;1.83;1.83;Prince Mohamed bin Fahd Stadium (Ad Dammām (Dammam))
1726415400,Sep;15;2024;-;3:50pm;complete;N/A; Kholood; Orubah;Raed Al Zahrani;3;0.00;0.00;0.33;0.88;3;3;6;2;1;1;10,52,89;27,46,77;4;2;1;0;3;0;0;1;1;2;19;11;8;6;7;3;7;10;43;57;0.81;0.96;1.80;1.25;1.75;25;50;25;0;0;25;50;0;100;7.50;2.50;1.81;3.43;4.20;1.29;1.93;3.40;6.50;1.80;2.00;Ar-Rass Stadium (Al Hazm Club Stadium) (Ar-Rass (Rass))
1726423200,Sep;15;2024;-;6:00pm;complete;N/A; Ittihad; Wahda;Sami Al Jires;3;3.00;0.00;3.00;0.20;7;1;8;4;3;1;2,13,45'4,46,55,87,89;31;4;3;1;0;1;0;1;0;1;0;18;13;12;7;3;4;9;4;66;34;1.45;0.00;2.10;1.48;1.50;50;50;50;0;0;0;0;50;50;4.00;3.00;1.36;5.00;7.50;1.15;1.50;2.30;4.00;1.72;2.05;King Abdullah Sports City (Jeddah)
1726760400,Sep;19;2024;-;3:40pm;complete;N/A; Akhdoud; Quadisiya;Sultan Al-Harbi;4;0.00;3.00;0.71;1.86;0;0;0;0;0;0;;;5;6;2;1;2;1;1;2;1;2;16;7;5;3;9;3;13;9;53;47;0.48;1.46;1.67;0.89;2.00;0;50;50;0;0;50;50;0;50;6.00;5.00;4.77;3.73;1.56;1.20;1.78;2.80;4.40;1.72;1.97;Prince Hathloul Bin Abdul Aziz Sport City Stadium (Najran)
1726761300,Sep;19;2024;-;3:55pm;complete;N/A; Orubah; Fateh;N/A;4;0.00;0.00;1.20;0.17;1;0;1;0;0;0;50;;4;4;4;0;3;0;1;3;1;2;16;15;5;7;7;5;16;13;35;65;0.00;0.82;1.38;1.63;1.50;0;50;50;0;0;0;50;50;50;4.00;0.00;2.62;3.37;2.44;1.22;1.81;2.80;5.20;1.60;2.20;Al-Jouf University Stadium (Sakākā (Sakakah))
1726768800,Sep;19;2024;-;6:00pm;complete;N/A; Wahda; Kholood;N/A;4;2.00;0.00;1.00;1.14;0;1;1;0;0;0;;60;4;3;4;1;2;0;1;4;0;2;14;12;5;5;4;5;15;3;65;35;1.48;1.36;1.22;1.14;4.25;100;100;100;75;25;25;100;75;100;10.50;4.50;2.39;3.25;2.54;1.22;1.73;2.88;6.00;1.57;2.38;King Abdulaziz Sports City Stadium (Makkah (Mecca))
